@relation car_v3-weka.filters.unsupervised.attribute.Remove-R1

@attribute buying numeric
@attribute maint numeric
@attribute doors numeric
@attribute persons numeric
@attribute lug_boot numeric
@attribute safety numeric
@attribute class {unacc,acc,good,vgood}

@data
11.83,0.86,5,4,625,1,unacc
12.39,0.86,3,4,234,1,unacc
12.12,0.86,5,2,179,3,unacc
28.85,0.86,3,6,607,2,acc
19.62,0.86,5,6,578,1,unacc
24.47,0.86,5,4,602,3,vgood
28.85,0.87,5,6,603,2,acc
48.4,0.87,4,4,207,2,unacc
30.99,0.87,2,6,598,2,acc
20.77,0.87,4,6,172,1,unacc
29.87,0.87,4,2,189,1,unacc
32.19,0.88,4,6,641,1,unacc
12.72,0.88,5,4,177,2,acc
30.24,0.88,3,4,189,3,acc
30.14,0.88,2,4,571,1,unacc
33.66,0.88,4,2,637,3,unacc
12.2,0.88,4,6,594,3,vgood
11.93,0.89,3,6,644,3,vgood
53.55,0.89,3,4,186,1,unacc
29.02,0.89,5,2,581,1,unacc
22.85,0.89,4,4,396,2,good
29.4,0.89,5,2,364,3,unacc
21.64,0.89,5,2,336,1,unacc
11.9,0.89,5,6,589,2,good
31.69,0.89,3,4,602,3,acc
11.66,0.9,4,6,180,3,good
50.29,0.9,4,2,362,2,unacc
31.73,0.9,3,4,446,1,unacc
10.64,0.9,5,6,379,2,good
30.82,0.9,2,2,422,3,unacc
11.15,0.91,4,6,419,3,vgood
18.9,0.91,2,4,184,2,acc
19.23,0.91,3,6,601,1,unacc
48.64,0.91,4,6,394,3,acc
12.13,0.91,2,4,414,1,unacc
11.07,0.91,5,6,227,3,good
26.78,0.91,2,4,210,3,acc
17.66,0.91,3,4,156,3,good
19.67,0.91,4,2,668,1,unacc
11.4,0.91,2,2,634,2,unacc
50.09,0.91,3,6,573,2,acc
46.62,0.92,5,6,597,2,acc
19.39,0.92,5,2,167,1,unacc
43.9,0.92,5,4,457,1,unacc
30.99,0.92,3,6,224,3,acc
19.55,0.92,5,4,625,2,good
20.14,0.92,2,4,583,3,vgood
20.13,0.92,3,4,541,3,vgood
20.87,0.92,3,4,212,1,unacc
53.35,0.92,2,6,595,2,acc
21.79,0.93,3,2,362,3,unacc
19.85,0.93,3,6,210,1,unacc
18.79,0.93,3,6,204,3,good
30.46,0.93,3,2,153,1,unacc
21.23,0.94,3,2,646,2,unacc
48.4,0.94,4,4,640,3,acc
11.13,0.94,2,2,218,3,unacc
20.62,0.94,4,2,157,1,unacc
27.56,0.94,4,4,194,1,unacc
28.96,0.94,3,2,416,1,unacc
20.14,0.94,5,4,149,2,acc
31.41,0.94,2,4,393,2,unacc
13.03,0.94,2,4,459,2,acc
19.56,0.94,5,4,148,3,good
21.02,0.95,2,4,564,1,unacc
50.08,0.95,3,6,193,3,acc
30.07,0.95,2,6,567,3,acc
21.41,0.95,4,6,379,2,good
20.88,0.95,2,6,379,3,good
12.64,0.95,3,4,378,2,acc
50.51,0.95,3,2,224,1,unacc
33.2,0.96,3,4,402,2,unacc
50.5,0.96,3,2,554,3,unacc
22.06,0.96,3,4,372,3,good
53.03,0.96,4,6,195,3,acc
30.01,0.96,2,4,654,2,acc
33.6,0.96,2,2,248,3,unacc
31.23,0.96,2,6,199,3,unacc
12.32,0.97,2,6,602,2,good
30.73,0.97,4,4,593,1,unacc
12.09,0.97,4,2,165,3,unacc
30.41,0.97,5,6,172,3,acc
29.57,0.97,5,4,355,2,acc
51.16,0.98,4,6,567,2,acc
12.31,0.98,3,2,600,3,unacc
48.9,0.98,3,4,439,2,unacc
12.64,0.98,2,2,383,1,unacc
29.82,0.98,4,2,438,2,unacc
10.59,0.98,3,4,601,1,unacc
48.68,0.98,3,4,207,2,unacc
31.12,0.98,2,6,396,1,unacc
28.02,0.98,4,4,330,3,acc
46.92,0.99,2,4,379,2,unacc
45.16,0.99,3,2,420,2,unacc
29.99,0.99,2,6,387,2,unacc
11.57,0.99,2,4,594,1,unacc
17.15,0.99,2,4,171,3,good
13.7,0.99,3,6,397,1,unacc
12.38,0.99,2,2,631,1,unacc
13.1,0.99,2,6,220,3,unacc
45.91,1,2,4,414,1,unacc
12.57,1,5,4,211,3,good
20.64,1,4,4,624,3,vgood
32.11,1,3,6,211,2,unacc
14.02,1,2,6,219,2,unacc
48.35,1,5,2,242,3,unacc
28.88,1,3,6,596,3,acc
11.05,1,3,6,412,2,good
22.17,1,2,4,609,2,good
19.68,1.01,2,4,162,1,unacc
23.09,1.01,4,4,207,3,good
49.89,1.01,2,6,151,2,unacc
30.14,1.01,5,4,197,3,acc
21.23,1.01,5,4,362,1,unacc
43.22,1.01,2,2,399,3,unacc
27.64,1.01,4,2,646,2,unacc
17.55,1.01,4,6,569,2,good
10.59,1.01,5,2,587,1,unacc
46.62,1.01,2,6,418,3,acc
33.26,1.01,5,2,596,2,unacc
29.77,1.01,5,2,247,3,unacc
13.22,1.02,3,4,418,1,unacc
56.3,1.02,3,2,350,1,unacc
33.04,1.02,3,4,207,1,unacc
52.26,1.02,4,4,607,1,unacc
12.45,1.02,3,6,627,2,good
29.29,1.02,5,6,257,1,unacc
44.73,1.02,2,6,601,1,unacc
49.52,1.02,5,4,640,1,unacc
19.45,1.02,3,4,377,1,unacc
21.08,1.02,3,2,214,1,unacc
47.5,1.02,2,4,623,1,unacc
29.15,1.03,2,6,206,1,unacc
49.51,1.03,4,2,216,2,unacc
12.07,1.03,4,6,595,2,good
52.13,1.03,3,4,418,1,unacc
12.25,1.03,5,6,374,1,unacc
18.88,1.03,5,2,346,2,unacc
20.67,1.03,3,6,401,3,vgood
32.04,1.03,5,6,410,2,acc
28.78,1.03,5,2,428,2,unacc
30.96,1.03,4,4,580,3,acc
20.81,1.03,3,2,416,2,unacc
29.95,1.03,2,2,622,3,unacc
19.63,1.04,5,2,641,1,unacc
45.12,1.04,4,6,153,2,unacc
17.14,1.04,3,2,397,1,unacc
47.17,1.04,3,2,154,3,unacc
43.5,1.04,4,6,561,3,acc
31.14,1.04,2,4,346,3,acc
33.03,1.04,4,4,415,1,unacc
21.79,1.04,2,6,161,3,unacc
28.49,1.05,5,6,592,3,acc
29.84,1.05,4,6,461,3,acc
28.19,1.05,3,2,405,2,unacc
11.75,1.05,2,6,239,1,unacc
30.66,1.05,5,2,183,2,unacc
22.13,1.05,5,4,367,2,good
19.37,1.05,5,4,587,1,unacc
30.01,1.05,2,4,360,1,unacc
47.75,1.05,5,2,407,1,unacc
50.85,1.05,4,6,226,1,unacc
20.42,1.05,4,4,173,1,unacc
11.14,1.06,4,6,192,1,unacc
20.21,1.06,3,2,605,3,unacc
30.69,1.06,5,6,473,3,acc
55.06,1.06,2,4,246,3,acc
47.3,1.06,2,6,434,2,unacc
11.42,1.06,3,2,245,1,unacc
30.46,1.06,3,2,562,2,unacc
30.79,1.06,3,6,423,2,acc
20.58,1.06,5,6,553,3,vgood
31.15,1.06,4,2,221,2,unacc
20.56,1.07,3,6,600,2,good
11.58,1.07,2,2,196,1,unacc
48.46,1.07,4,4,350,2,acc
13.83,1.07,4,6,609,1,unacc
11.93,1.07,3,4,377,3,good
46.99,1.07,3,2,565,1,unacc
30.84,1.07,2,2,619,2,unacc
13.54,1.08,3,6,391,3,vgood
11.5,1.08,3,2,437,1,unacc
10.46,1.08,5,6,168,2,acc
30.01,1.08,4,4,252,3,acc
50.9,1.08,5,6,196,3,acc
29.1,1.08,3,2,445,3,unacc
19.28,1.08,5,6,411,3,vgood
16.8,1.08,2,4,438,2,acc
41.46,1.08,4,6,420,2,acc
29.96,1.09,2,2,651,1,unacc
12.83,1.09,5,4,409,1,unacc
29.83,1.09,3,4,583,2,acc
30.68,1.09,3,4,232,2,unacc
29.49,1.09,4,4,399,2,acc
21.67,1.09,4,2,423,3,unacc
18.96,1.09,5,2,637,3,unacc
52.64,1.09,2,2,647,1,unacc
56.64,1.1,3,4,601,1,unacc
52.26,1.1,2,4,201,1,unacc
11.68,1.1,3,2,182,2,unacc
11.7,1.1,5,4,420,3,vgood
12.29,1.11,5,2,198,2,unacc
41.92,1.11,4,2,409,1,unacc
19.33,1.11,2,2,614,3,unacc
30.53,1.11,5,6,585,1,unacc
13.7,1.12,4,2,609,3,unacc
29.64,1.12,4,2,584,1,unacc
26.09,1.12,5,6,337,1,unacc
10.5,1.12,5,6,450,3,vgood
21.08,1.12,5,2,382,3,unacc
19.45,1.12,2,2,382,1,unacc
12.61,1.12,4,4,188,1,unacc
9.3,1.12,4,6,423,2,good
28.64,1.12,5,6,173,2,unacc
10.51,1.12,2,6,667,3,vgood
20.59,1.13,5,6,215,3,good
12.93,1.13,4,4,591,1,unacc
10.81,1.13,3,6,185,1,unacc
22.81,1.13,2,2,386,3,unacc
12.45,1.13,5,4,561,3,vgood
18.55,1.13,4,4,564,1,unacc
53.04,1.13,3,2,383,3,unacc
13.83,1.14,2,2,375,3,unacc
21.98,1.14,2,4,427,1,unacc
30.59,1.14,2,2,404,1,unacc
28.32,1.14,4,4,175,2,unacc
21.9,1.14,5,6,212,2,acc
21.22,1.15,4,2,410,2,unacc
21.33,1.15,2,2,637,2,unacc
10.46,1.15,5,4,201,1,unacc
13.33,1.15,3,2,401,2,unacc
52.69,1.16,3,6,368,2,acc
30.42,1.16,2,2,200,2,unacc
50.06,1.16,3,6,185,1,unacc
12.79,1.16,5,2,597,2,unacc
32.86,1.16,4,4,596,2,acc
19.73,1.16,2,2,224,2,unacc
20.39,1.16,4,2,431,1,unacc
11.89,1.16,5,2,421,3,unacc
11.93,1.16,4,4,156,2,acc
44.59,1.16,4,2,208,1,unacc
12,1.16,3,4,231,3,good
55.41,1.16,5,4,207,3,acc
19.45,1.17,2,6,416,1,unacc
21.63,1.17,3,6,439,1,unacc
32.25,1.17,2,4,593,3,acc
18.22,1.17,4,6,237,2,acc
19.33,1.17,4,6,255,3,good
11.05,1.17,4,4,434,1,unacc
14.08,1.18,5,2,388,1,unacc
11.69,1.18,5,6,238,1,unacc
13.17,1.18,2,6,660,1,unacc
17.62,1.18,4,6,593,3,vgood
14.42,1.18,2,4,164,2,acc
46.75,1.18,4,2,631,3,unacc
17.55,1.18,5,6,609,2,good
27.89,1.19,3,2,217,3,unacc
47.87,1.19,2,2,221,3,unacc
30.35,1.19,5,4,377,1,unacc
56.73,1.19,4,2,616,1,unacc
61.77,1.19,2,6,548,3,acc
52.04,1.2,4,4,390,3,acc
12.55,1.2,2,6,359,2,acc
46.49,1.2,5,4,217,2,unacc
21.42,1.2,5,2,178,3,unacc
53.06,1.2,5,2,381,2,unacc
18.57,1.21,2,2,571,1,unacc
48.04,1.21,2,2,244,2,unacc
18.94,1.21,4,4,244,2,acc
50.58,1.21,5,2,627,2,unacc
19.41,1.21,2,6,581,1,unacc
52.48,1.21,5,6,571,1,unacc
46.44,1.22,2,4,344,3,acc
21.71,1.22,5,2,217,2,unacc
17.14,1.22,5,6,432,2,good
11.53,1.22,4,4,224,3,good
42.97,1.23,3,6,364,1,unacc
29.77,1.23,4,2,339,3,unacc
12.11,1.23,4,4,380,3,vgood
47.69,1.23,3,4,589,2,acc
21.29,1.23,5,4,194,1,unacc
54.93,1.23,4,4,189,1,unacc
19.01,1.24,2,6,392,2,acc
28.33,1.24,4,6,613,2,acc
29.1,1.24,2,6,381,3,acc
12.14,1.24,4,2,603,1,unacc
21.03,1.25,2,4,383,3,good
52.24,1.25,5,2,212,2,unacc
11.18,1.26,2,2,366,2,unacc
17.12,1.26,3,6,399,2,good
11.77,1.26,3,2,596,2,unacc
28.45,1.26,2,6,255,2,unacc
20.91,1.26,4,2,224,2,unacc
47.36,1.26,5,4,375,3,acc
29.09,1.27,3,4,383,3,acc
31.3,1.27,2,2,372,2,unacc
47.36,1.27,5,6,201,1,unacc
31.1,1.27,3,6,388,3,acc
19.92,1.27,4,4,350,3,vgood
23.98,1.27,5,2,584,2,unacc
52.83,1.28,2,2,607,2,unacc
29.83,1.28,3,2,556,1,unacc
13.23,1.28,4,2,424,1,unacc
11.61,1.28,3,2,591,1,unacc
16.29,1.29,3,4,161,2,acc
48.19,1.29,2,4,225,2,unacc
21.98,1.29,4,6,634,1,unacc
12.37,1.3,2,4,211,3,good
27.32,1.3,4,6,373,2,acc
51.35,1.31,3,6,644,3,acc
10.73,1.31,4,2,533,2,unacc
17.48,1.31,3,2,608,1,unacc
43.85,1.31,2,2,579,3,unacc
48.74,1.31,5,4,165,1,unacc
48.25,1.31,5,2,568,3,unacc
52.95,1.32,3,2,185,2,unacc
30.48,1.32,2,4,228,1,unacc
13.23,1.32,3,6,188,3,good
21.03,1.32,3,4,610,2,good
13.28,1.33,4,2,430,3,unacc
33.69,1.33,5,2,663,3,unacc
21.85,1.33,4,2,189,3,unacc
52,1.34,3,6,401,3,acc
50.36,1.36,5,6,358,1,unacc
30,1.36,5,4,366,3,acc
54.11,1.37,3,6,616,1,unacc
43.41,1.37,3,4,610,3,acc
48.72,1.37,2,4,610,3,acc
9.58,1.37,4,6,416,1,unacc
11.6,1.38,5,2,238,1,unacc
44.4,1.38,4,4,204,3,acc
28.94,1.39,5,2,394,1,unacc
11.54,1.4,3,6,217,2,acc
21.78,1.41,4,6,438,3,vgood
11.97,1.42,3,2,177,3,unacc
19.21,1.42,2,6,638,3,vgood
11.05,1.43,3,2,349,3,unacc
57.52,1.43,4,4,547,2,acc
52.42,1.43,3,6,213,2,unacc
18.71,1.43,3,2,180,3,unacc
18.19,1.47,4,2,582,3,unacc
30.51,1.47,3,4,625,1,unacc
58.22,1.48,5,6,246,2,unacc
12.95,1.48,4,2,206,1,unacc
11.3,1.49,4,4,579,2,good
44.49,1.49,4,2,578,2,unacc
11.28,1.51,4,2,162,2,unacc
29,1.54,3,6,600,1,unacc
52.06,1.55,4,4,449,1,unacc
18.55,1.74,5,4,431,1,unacc
19.01,1.76,4,6,612,3,vgood
50.93,1.82,5,6,394,1,unacc
28.75,1.87,3,2,216,3,unacc
21.33,1.89,5,6,432,2,acc
19.97,1.91,3,4,162,2,acc
12.87,1.91,3,2,627,3,unacc
12.04,1.92,4,4,166,1,unacc
28.74,1.94,5,2,619,2,unacc
18.92,1.96,3,4,356,1,unacc
33.08,1.97,3,2,264,2,unacc
31.92,1.97,2,4,391,2,unacc
54,1.98,4,4,160,2,unacc
10.47,1.99,4,6,639,1,unacc
11.63,2,5,6,600,1,unacc
29.87,2.02,3,6,384,2,acc
52.48,2.02,5,6,424,2,acc
27.62,2.02,5,6,347,2,acc
29.07,2.02,3,2,418,1,unacc
20.13,2.02,2,4,250,3,acc
32.4,2.03,3,4,609,1,unacc
47.66,2.03,5,4,162,1,unacc
29.93,2.04,3,6,568,2,acc
30.41,2.04,4,6,616,1,unacc
51.49,2.05,4,6,169,1,unacc
50.27,2.05,3,2,174,2,unacc
20.6,2.05,2,2,630,3,unacc
19.99,2.06,3,6,387,2,acc
51.29,2.06,3,2,587,1,unacc
53.83,2.07,4,4,428,1,unacc
11.97,2.07,4,6,167,2,acc
56.34,2.07,5,6,555,2,acc
43.54,2.07,4,6,599,2,acc
13.21,2.07,3,2,422,3,unacc
43.28,2.07,3,2,175,1,unacc
29.92,2.08,4,4,659,2,acc
49.63,2.08,4,6,551,3,acc
12.11,2.08,4,6,434,3,vgood
11.15,2.08,5,2,175,2,unacc
22.56,2.09,3,4,218,3,acc
28.19,2.09,4,4,212,3,acc
17.68,2.09,4,4,345,3,vgood
19.65,2.09,2,2,195,3,unacc
46.07,2.1,2,6,361,1,unacc
11.54,2.11,4,4,550,3,vgood
12.15,2.11,3,6,176,2,acc
30.77,2.11,5,2,210,1,unacc
30.06,2.12,5,6,180,1,unacc
43.49,2.12,5,6,170,1,unacc
49.39,2.13,3,4,360,3,acc
49.51,2.13,2,6,188,3,unacc
20.9,2.14,2,4,603,1,unacc
11.23,2.15,5,6,374,2,good
11.92,2.15,2,6,397,1,unacc
21.15,2.16,3,4,418,3,acc
51.15,2.16,4,2,531,3,unacc
12.52,2.16,5,2,377,1,unacc
30.95,2.16,5,4,399,3,acc
19.36,2.16,4,6,195,2,acc
49.24,2.18,2,6,622,2,acc
20.3,2.18,4,6,399,1,unacc
50.75,2.18,3,4,141,2,unacc
17.95,2.19,3,4,576,3,vgood
21.61,2.2,3,6,437,3,vgood
57.99,2.2,4,4,169,3,acc
45.58,2.2,5,2,179,3,unacc
12.62,2.21,2,2,180,2,unacc
12,2.21,5,6,398,1,unacc
31.25,2.21,5,4,182,1,unacc
50.19,2.21,4,4,597,1,unacc
28.75,2.21,3,6,575,1,unacc
44.88,2.21,2,2,640,1,unacc
30.17,2.22,3,6,214,1,unacc
10.82,2.22,5,4,193,1,unacc
16.31,2.23,3,2,198,3,unacc
12.83,2.23,4,4,441,3,vgood
48.91,2.23,5,4,207,3,acc
10.26,2.23,4,2,568,2,unacc
22.03,2.24,3,6,177,3,acc
19.18,2.24,4,2,374,2,unacc
12.28,2.24,2,2,429,2,unacc
53.09,2.24,3,4,458,2,unacc
30.43,2.25,4,6,602,3,acc
11.11,2.25,2,6,629,2,good
31.48,2.25,5,2,426,2,unacc
11.76,2.25,2,2,588,1,unacc
17.13,2.25,5,6,599,2,acc
21.23,2.25,3,6,577,3,vgood
20.09,2.25,2,4,198,2,acc
44.28,2.25,3,6,586,3,acc
29.43,2.26,3,4,228,1,unacc
19.29,2.26,4,4,211,2,acc
41.64,2.26,2,4,226,1,unacc
11.52,2.26,5,4,367,2,good
46.71,2.26,5,2,615,3,unacc
19.91,2.26,3,2,584,1,unacc
52.65,2.26,2,6,140,1,unacc
30.7,2.27,2,6,545,3,acc
29.57,2.27,2,6,429,2,unacc
44.43,2.27,4,6,427,3,acc
50.69,2.27,3,4,148,3,acc
46.83,2.27,2,4,459,3,acc
48.31,2.27,4,4,365,2,acc
30.18,2.27,2,6,629,2,acc
10.76,2.28,2,2,415,3,unacc
45.79,2.28,5,4,414,3,acc
20.19,2.28,4,4,374,1,unacc
48.41,2.29,3,6,411,2,acc
28.8,2.29,2,4,585,3,acc
48.64,2.29,5,4,406,1,unacc
28.64,2.29,4,2,204,2,unacc
30.04,2.29,2,4,610,2,acc
13.26,2.29,3,2,164,1,unacc
58.17,2.3,2,6,595,3,acc
46.72,2.3,5,2,452,2,unacc
51.45,2.3,3,6,618,1,unacc
50.45,2.3,2,2,415,2,unacc
11.47,2.3,4,2,550,3,unacc
51.95,2.3,4,6,430,1,unacc
30.62,2.3,5,6,393,3,acc
12.5,2.3,4,4,537,2,good
49.27,2.31,3,2,443,3,unacc
58.64,2.31,2,2,623,3,unacc
46.41,2.31,3,6,183,3,acc
20.01,2.31,4,6,197,3,acc
16.05,2.31,3,2,392,3,unacc
20.34,2.31,2,2,398,3,unacc
11.34,2.31,4,6,627,2,good
37.4,2.32,5,4,620,1,unacc
55.75,2.32,5,4,406,2,acc
20.75,2.32,5,2,187,1,unacc
11.67,2.32,2,6,249,3,unacc
51.22,2.32,2,6,223,2,unacc
49.58,2.32,2,6,587,1,unacc
30.22,2.32,2,4,192,1,unacc
28.72,2.32,5,6,538,1,unacc
19.58,2.33,4,6,428,3,vgood
22.13,2.33,4,2,622,3,unacc
30.57,2.33,3,4,433,1,unacc
31.66,2.33,2,2,397,1,unacc
33.03,2.33,2,6,426,1,unacc
21.54,2.33,3,2,175,2,unacc
12.71,2.33,4,2,197,1,unacc
11.35,2.33,3,2,401,1,unacc
12.58,2.33,5,4,563,1,unacc
12.51,2.33,2,4,381,2,acc
10.89,2.33,4,6,371,2,good
17.86,2.34,5,2,360,1,unacc
41.9,2.34,5,4,622,2,acc
20.99,2.34,5,4,214,3,acc
19.31,2.34,3,2,587,3,unacc
51.07,2.34,5,6,195,3,acc
29.15,2.34,4,6,174,3,acc
18.64,2.34,3,6,437,1,unacc
20.61,2.35,3,4,369,2,acc
50.44,2.35,5,6,601,1,unacc
21.03,2.35,5,2,543,1,unacc
47.52,2.35,5,2,621,1,unacc
21.2,2.35,2,6,570,2,acc
13.65,2.35,2,2,627,3,unacc
10.98,2.35,3,4,164,1,unacc
10.23,2.36,5,2,635,3,unacc
49.68,2.36,4,2,645,1,unacc
20.58,2.36,2,4,232,1,unacc
29.33,2.36,2,4,240,2,unacc
19.12,2.36,5,4,581,3,vgood
46.99,2.36,4,2,415,1,unacc
12.79,2.36,2,6,651,1,unacc
20.29,2.36,2,2,208,2,unacc
30.83,2.37,5,2,584,3,unacc
27.81,2.37,2,6,596,1,unacc
11.36,2.37,4,2,372,3,unacc
30.46,2.37,3,2,606,1,unacc
13.31,2.38,2,2,212,3,unacc
29.29,2.38,2,2,189,1,unacc
27.85,2.38,4,4,230,2,unacc
20.45,2.38,3,2,413,1,unacc
20.46,2.38,3,6,213,1,unacc
46.56,2.38,2,4,173,3,acc
10.94,2.38,4,2,201,3,unacc
12.97,2.38,3,6,570,2,good
10.93,2.39,5,4,372,1,unacc
47.83,2.39,3,2,369,1,unacc
12.86,2.39,3,2,348,2,unacc
18.89,2.39,2,2,208,1,unacc
32.17,2.39,4,4,420,3,acc
29.95,2.39,5,2,207,3,unacc
19.03,2.39,4,4,626,2,acc
12.86,2.39,4,2,562,1,unacc
23.02,2.39,5,4,413,2,acc
13.06,2.39,3,4,355,3,good
12.24,2.39,3,4,396,1,unacc
29.71,2.39,3,2,600,2,unacc
52.04,2.39,5,2,376,3,unacc
12.5,2.4,3,4,573,2,good
31.15,2.4,4,4,569,3,acc
30.31,2.4,3,6,206,2,unacc
10.58,2.4,4,4,428,2,good
10.91,2.4,2,2,210,1,unacc
12.25,2.4,4,6,573,3,vgood
28.4,2.4,5,4,625,2,acc
16.78,2.4,3,2,385,2,unacc
12.34,2.4,4,2,382,1,unacc
31.24,2.4,3,6,612,3,acc
31.61,2.4,5,4,603,3,acc
12.53,2.41,5,4,627,2,good
20.4,2.41,2,6,600,3,vgood
29.76,2.41,4,4,572,1,unacc
12.72,2.41,4,2,375,2,unacc
14.61,2.41,2,4,604,2,good
30.58,2.41,5,6,422,1,unacc
45.98,2.41,3,6,379,1,unacc
24.26,2.41,4,2,547,2,unacc
11.75,2.41,2,2,439,1,unacc
12.73,2.42,3,6,209,3,good
27.61,2.42,3,2,604,3,unacc
10.37,2.42,5,2,379,2,unacc
48.34,2.42,3,4,576,3,acc
12,2.42,2,4,499,3,vgood
20.04,2.42,5,4,235,2,acc
12.57,2.42,4,4,614,1,unacc
55.06,2.42,2,4,620,3,acc
12.5,2.42,5,4,196,2,acc
12.18,2.42,4,4,277,2,acc
45.83,2.42,5,6,232,2,unacc
20.32,2.42,4,6,575,2,acc
29.65,2.43,3,4,553,3,acc
31.91,2.43,4,4,253,1,unacc
13.29,2.43,3,2,199,3,unacc
45.64,2.43,3,2,636,3,unacc
19.7,2.43,2,4,385,2,acc
20.88,2.43,2,6,420,2,acc
27.23,2.43,4,6,648,2,acc
9.92,2.43,2,6,222,2,unacc
20.68,2.43,4,4,658,3,vgood
10.96,2.43,3,6,205,1,unacc
20.09,2.43,3,6,641,1,unacc
19.22,2.43,5,2,615,2,unacc
43.79,2.44,2,4,437,2,unacc
19.83,2.44,4,4,401,2,acc
11.17,2.44,4,4,448,1,unacc
12.14,2.44,2,2,592,2,unacc
31.09,2.44,4,6,177,1,unacc
31.39,2.44,2,2,567,3,unacc
19.17,2.44,5,4,615,1,unacc
12.51,2.44,4,6,179,3,good
50.02,2.44,4,6,381,2,acc
21.09,2.44,2,2,618,1,unacc
30.95,2.44,5,6,605,2,acc
15.67,2.44,5,6,597,1,unacc
30.29,2.45,2,2,185,3,unacc
18.83,2.45,3,4,612,2,acc
49.97,2.45,3,4,633,1,unacc
30.02,2.45,4,2,425,1,unacc
12.86,2.45,3,6,409,1,unacc
50.55,2.45,2,6,380,3,acc
12.96,2.45,2,6,440,2,acc
20.14,2.46,4,4,196,1,unacc
55,2.46,4,2,525,2,unacc
19.73,2.46,2,6,212,1,unacc
47.04,2.46,3,6,211,1,unacc
31.7,2.46,3,2,198,1,unacc
16.99,2.46,5,6,194,1,unacc
10.81,2.46,3,6,603,1,unacc
21.06,2.47,3,4,599,1,unacc
12.72,2.47,5,6,606,3,vgood
19.88,2.47,3,6,218,2,acc
32.53,2.47,5,4,224,3,acc
47.86,2.47,5,2,252,2,unacc
19.03,2.47,2,4,583,3,vgood
14.14,2.47,2,6,438,3,good
57.41,2.47,3,6,616,2,acc
